ITEMS,DESCRIPTION,QUANTITY,UNIT PRICE,TOTAL PRICE ,URL,OTHER INFO
sandisk-sdsquab,MicroSD Card,1,$10.90,$10.90,https://www.flipkart.com/sandisk-sdsquab-064g-gn6mn-ultra-64-gb-microsdxc-class-10-140-mb-s-memory-card-compatible-camera-computer-gaming-console-mobile-tablet/p/itmfeh2yptcfzae4?pid=ACCGGX76TNFCNDMA&lid=LSTACCGGX76TNFCNDMA96DQAG&marketplace=FLIPKART&pageUID=1772828196841,
MicroSD to SD Converter,MicroSD Card Adapter,1,$2,$2,https://www.flipkart.com/hitrime-micro-sd-card-adapter-only-adapter-reader/p/itm0855eb84120dd?pid=CDRHG5WXYHZEFW59&lid=LSTCDRHG5WXYHZEFW59ZZS7NH&marketplace=FLIPKART&pageUID=1772828262726,
MicroSD card reader Module,MicroSD Card Module,1,$0.42,$0.42,https://robu.in/product/micro-sd-card-module/,
9x15cm Perf Board,Perf Board (PCB),2,$0.98,$2,https://robu.in/product/915-cm-universal-pcb-prototype-board-double-sided/,
4x6cm Perf Board,Perf Board (PCB),1,$1,$1,https://robu.in/product/46-cm-universal-pcb-prototype-board-double-sided/,
Pin Headers (2 Pin),Pin Headers,30,$0.03,$1,https://robu.in/product/ph1-0-01-02pzd-xunpu-plugin1x2-pin-1mm-pin-headers-rohs/,
Pin Headers (3 Pin),Pin Headers,10,$0.03,$1,https://robu.in/product/ph1-27-01-03pzd-xunpu-plugin1x3-pin-1-27mm-pin-headers-rohs/,
Jumper Wires (20 cm),Jumper Wires,1,$0.46,$0.46,https://robu.in/product/male-to-female-jumper-wires-40pcs-20cm/,
18AWG (RED),Wires,1,$0.34,$0.34,https://robu.in/product/18awg-high-voltage-silicone-wire-3000v-red/,
18AWG (BLACK),Wires,1,$0.34,$0.34,https://robu.in/product/18awg-high-voltage-silicone-wire-3000v-black/,
20AWG (RED),Wires,2,$0.16,$0.32,https://robu.in/product/ul1007-20awg-pvc-electronic-wire-red/,
20AWG (BLACK),Wires,2,$0.16,$0.32,https://robu.in/product/ul1007-20awg-pvc-electronic-wire-black/,
22AWG (RED),Wires,2,$0.16,$0.32,https://robu.in/product/22awg-silicone-braided-wire-red/,
22AWG (BLACK),Wires,2,$0.16,$0.32,https://robu.in/product/22awg-silicone-braided-wire-black/,
26AWG (RED),Wires,2,$0.08,$0.16,https://robu.in/product/high-quality-ultra-flexible-26awg-silicone-wire-1000m-red/,
26AWG (BLACK),Wires,2,$0.08,$0.16,https://robu.in/product/ul1007-26awg-pvc-electronic-wire-black/,
Wire Stripper,Wire Stripper,1,$2.55,$2.55,https://robu.in/product/multitec-02dx-self-adjusting-wire-cutter-stripper/,
Helping Hands,Helping Hands,1,$9.40,$9.40,https://www.amazon.in/gp/product/B0DFQ6G523/ref=ewc_pr_img_1?smid=A3T8K809Q96RB6&psc=1,
Solder Wick,Solder Wick,1,$0.70,$0.70,https://robu.in/product/best-quality-solder-desoldering-wire-de-soldering-wick/,
,,,,,,
,,,,,,
,,,,,,
,,,TOTAL -,$151.72,,
,,,TOTAL (incl Shipping) - ,$160,,
