ITEMS,DESCRIPTION,QUANTITY,UNIT PRICE,TOTAL PRICE ,URL,OTHER INFO
0.1uF Ceramic Capacitor,Capacitor,30,$0.06,$1.91,https://quartzcomponents.com/products/10000-pf-0-1uf-ceramic-capacitor?variant=31898110197895,
470uF 50V Electrolytic Capacitor,Capacitor,1,$0.07,$0.07,https://quartzcomponents.com/products/470uf-50v-electrolytic-capacitor,
47uF 10V Electrolytic Capacitor,Capacitor,2,$0.04,$0.08,https://quartzcomponents.com/products/47uf-10v-electrolytic-capacitor,
100uF 16V Electrolytic Capacitor,Capacitor,10,$0.03,$0.35,https://quartzcomponents.com/products/6v-100uf-electrolytic-capacitor,
100uF 25V Electrolytic Capacitor,Capacitor,10,$0.03,$0.35,https://quartzcomponents.com/products/100uf-25v-radial-electrolytic-capacitor,
1000uF 16V Electrolytic Capacitor,Capacitor,2,$0.08,$0.20,https://quartzcomponents.com/products/1000uf-16v-aluminum-electrolytic-capacitors-leaded,
sandisk-sdsquab,MicroSD Card,1,$16.83,$16.83,https://www.flipkart.com/sandisk-sdsquab-064g-gn6mn-ultra-64-gb-microsdxc-class-10-140-mb-s-memory-card-compatible-camera-computer-gaming-console-mobile-tablet/p/itmfeh2yptcfzae4?pid=ACCGGX76TNFCNDMA&lid=LSTACCGGX76TNFCNDMA96DQAG&marketplace=FLIPKART&pageUID=1772828196841,
MicroSD to SD Converter,MicroSD Card Adapter,1,$3,$3,https://www.flipkart.com/carecase-pack-3-sam-sung-micro-sd-adapter-compatible-all-mobile-memory-cards-card-reader/p/itmc5f69c3882c43?pid=CDRHKXS7YNWGKAGA&lid=LSTCDRHKXS7YNWGKAGASITGLV&marketplace=FLIPKART&q=microsd+card+to+sd+card+adapter&store=6bo&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=fda2b6d9-8662-464c-bd6e-b17b6319e517.CDRHKXS7YNWGKAGA.SEARCH&ppt=None&ppn=None&ssid=rci22uky8g0000001778036099865&qH=10a8a626815ce32d&ov_redirect=true&ov_redirect=true,
MicroSD card reader Module,MicroSD Card Module,1,$0.42,$0.42,https://robu.in/product/micro-sd-card-module/,
9x15cm Perf Board,Perf Board (PCB),2,$0.98,$2,https://robu.in/product/9-x-15-cm-universal-pcb-prototype-board-single-sided-2-54mm-hole-pitch?gad_campaignid=17427802703&gad_source=4&gclid=CjwKCAjwqubPBhBOEiwAzgZX2ji66lqZJYzmcHvZhw1X82XoIl8ukAGBR8JH_GhM9Hv5_O3qMwNaBxoCEtsQAvD_BwE&gbraid=0AAAAADvLFWcq77_dJA-8lFq9MCyCieGao,
